Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,91.39,94.14,87.92,92.38,73.25,89.84,95.99,98.33,97.94,92.42,91.54,91.1,91.45,94.59,93.97,94.26,95.56,98.04,93.86,94.99,91.89,90.3,88.75,86.84,93.42,89.29,86.82,96.64,97.57,94.36
2,91.09,93.89,94.91,77.41,81.47,92.56,96.53,86.31,92.28,95.91,97.03,91.34,87.05,85.62,99.47,94.18,93.52,93.94,95.22,97.21,95.69,94.41,93.33,93.07,91.81,93.6,84.36,92.67,90.05,91.17
3,92.84,96.06,85.56,81.4,82.85,92.56,97.36,96.53,93.93,92.9,92.0,90.66,93.98,90.22,90.58,85.98,94.51,91.89,95.57,92.96,94.8,89.65,93.63,94.05,92.62,93.98,79.83,91.16,96.21,94.45
4,94.33,86.24,90.35,74.14,85.62,93.02,85.1,89.54,86.39,93.54,91.74,84.44,80.4,89.41,89.78,95.82,85.11,92.03,94.52,90.66,93.27,87.99,83.83,86.57,91.38,92.57,93.85,92.22,93.86,89.36
5,81.47,85.57,64.35,77.96,82.92,78.46,87.44,89.86,86.6,67.9,69.08,50.66,77.4,84.52,80.12,78.45,85.36,80.64,91.8,88.03,88.05,70.57,81.16,77.17,75.82,78.83,82.65,82.14,72.28,79.27
