Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3
1,87.93,87.28,94.56,84.74,88.74,76.75,99.78,91.41,99.42,94.94,89.92,91.94,98.65,96.94,97.99,94.41,93.79,96.77,93.91,94.5,94.79,95.24,94.32,95.62,89.23,89.94,91.09,96.38,96.34,97.19
2,90.35,91.51,89.29,82.76,86.11,94.84,87.13,84.03,84.73,79.37,97.37,88.77,98.39,94.54,100.0,96.55,96.17,94.02,95.01,94.73,91.02,84.23,92.41,90.83,92.41,88.83,92.46,94.81,96.25,94.32
3,87.41,88.02,88.92,83.23,84.89,88.44,96.71,75.96,85.84,96.05,96.89,99.48,87.72,80.21,91.69,95.43,89.41,88.81,95.35,89.96,90.96,76.24,78.03,81.22,92.41,90.07,80.04,95.71,90.82,91.34
4,92.14,90.55,85.95,79.25,85.44,85.5,86.09,85.23,86.83,80.11,88.06,81.16,90.68,91.4,78.5,94.71,94.53,91.71,89.23,94.35,91.15,89.06,76.24,86.18,92.16,92.16,91.03,88.55,88.9,91.46
5,83.51,87.19,85.52,82.07,76.45,78.54,66.31,70.49,78.21,71.91,83.46,64.48,86.97,91.3,91.3,86.28,86.4,87.17,86.7,87.81,88.65,79.45,80.94,71.63,77.61,79.77,86.7,87.6,89.93,90.96
