Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3,classification_1_mean,classification_1_std,classification_2_mean,classification_2_std,classification_3_mean,classification_3_std,classification_4_mean,classification_4_std,classification_5_mean,classification_5_std,classification_6_mean,classification_6_std,classification_7_mean,classification_7_std,classification_8_mean,classification_8_std,classification_9_mean,classification_9_std,classification_10_mean,classification_10_std,overall_mean,overall_std,relative_drop_%
1,100.0,100.0,97.39,96.75,89.16,100.0,94.44,100.0,100.0,100.0,98.58,100.0,95.25,97.04,93.97,95.27,100.0,97.62,100.0,100.0,100.0,100.0,100.0,90.49,95.44,95.89,93.36,84.99,100.0,84.35,99.13,1.507,95.303,5.563,98.147,3.21,99.527,0.82,95.42,1.542,97.63,2.365,100.0,0.0,96.83,5.491,94.897,1.35,89.78,8.857,96.666,4.443,0.0
2,95.19,92.41,91.6,95.12,86.69,93.75,94.83,95.11,96.96,90.12,97.24,92.19,93.16,88.51,94.97,95.07,93.62,97.47,92.26,92.26,92.26,90.76,86.75,91.49,92.87,92.55,93.57,82.24,91.19,85.56,93.067,1.883,91.853,4.524,95.633,1.157,93.183,3.662,92.213,3.332,95.387,1.944,92.26,0.0,89.667,2.552,92.997,0.522,86.33,4.524,92.259,3.511,4.559
3,95.36,95.05,93.62,80.68,90.74,93.67,100.0,94.46,87.37,98.12,82.72,84.48,94.97,95.35,89.7,95.76,93.08,93.05,91.25,90.14,88.12,84.45,90.43,85.16,94.53,92.87,88.95,89.98,82.76,91.19,94.677,0.928,88.363,6.813,93.943,6.331,88.44,8.429,93.34,3.158,93.963,1.556,89.837,1.587,86.68,3.267,92.117,2.865,87.977,4.558,90.934,4.795,5.93
4,89.99,94.26,93.42,81.67,88.04,88.91,88.85,92.65,92.52,95.83,99.94,87.45,94.46,94.76,93.28,77.49,86.69,94.57,88.44,91.02,84.29,84.96,76.72,87.09,92.93,85.44,93.9,79.48,88.06,75.4,92.557,2.262,86.207,3.953,91.34,2.157,94.407,6.365,94.167,0.782,86.25,8.548,87.917,3.395,82.923,5.477,90.757,4.63,80.98,6.462,88.75,6.079,8.189
5,81.72,89.54,69.81,86.92,85.28,77.33,88.41,76.68,89.55,79.09,77.21,82.26,84.34,78.26,86.17,83.27,85.26,82.99,80.69,84.88,88.58,71.33,75.87,77.85,78.99,69.93,75.2,74.91,73.77,76.03,80.357,9.935,83.177,5.129,84.88,7.124,79.52,2.552,82.923,4.141,83.84,1.238,84.717,3.948,75.017,3.343,74.707,4.55,74.903,1.13,80.404,5.785,16.823
