Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3
1,80.37,68.19,71.95,87.48,88.46,86.63,89.62,89.81,94.02,86.93,85.85,86.87,87.35,93.06,88.85,77.11,91.33,82.0,88.43,87.91,89.74,91.64,81.87,81.27,84.56,82.94,85.06,83.68,83.97,79.14
2,73.66,73.9,73.21,82.93,67.68,83.46,94.78,92.23,84.76,84.83,87.46,79.67,91.18,90.37,86.22,89.36,84.29,83.78,88.1,89.99,87.44,85.46,87.51,87.33,83.46,80.62,83.93,79.57,83.83,77.75
3,75.17,80.38,72.92,84.15,83.1,80.06,90.79,92.36,89.49,91.28,84.72,85.61,87.6,87.91,67.39,87.97,77.14,75.68,79.61,77.53,77.9,69.05,86.2,80.63,86.33,84.49,72.17,67.08,85.48,67.69
4,70.64,74.69,70.36,80.02,88.19,79.39,90.42,85.59,82.24,82.11,90.25,90.4,85.95,62.81,90.23,87.89,89.78,67.21,57.79,86.13,90.92,76.77,89.8,89.62,78.64,83.78,76.96,79.64,84.37,82.3
5,78.22,68.63,68.49,82.41,83.21,57.0,81.61,75.4,83.74,86.77,85.71,84.69,81.0,86.68,86.38,84.22,90.41,85.86,74.22,76.82,88.07,84.9,70.34,81.17,69.07,67.98,69.59,57.47,79.6,85.96
