Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3
1,84.26,86.42,79.16,80.64,83.64,77.11,83.68,84.28,88.51,85.09,87.85,77.3,81.8,83.58,88.18,87.65,84.5,85.26,89.93,86.44,89.03,87.57,85.93,86.23,84.82,88.45,79.46,84.84,86.69,82.48
2,81.33,83.94,86.03,78.53,81.64,83.77,87.24,87.35,76.46,83.38,86.74,85.97,83.5,80.25,85.43,84.35,82.32,85.69,89.44,90.47,92.77,85.75,84.69,90.47,85.58,84.36,84.32,83.12,85.19,87.17
3,86.65,81.07,83.96,82.19,75.68,82.21,87.55,64.64,83.44,85.43,86.76,81.47,71.33,73.14,73.69,85.05,74.87,87.29,89.0,90.12,88.85,81.59,80.17,88.37,87.86,88.92,79.45,84.35,85.08,73.34
4,77.33,85.83,81.33,82.08,79.8,81.95,87.09,85.2,83.31,81.62,74.13,84.68,76.94,77.22,77.68,84.84,83.79,85.67,86.38,91.76,90.8,87.32,84.65,78.5,86.58,87.16,84.56,79.52,78.61,84.49
5,74.72,80.28,81.71,73.82,81.72,80.16,80.92,82.4,78.67,69.58,70.71,72.96,71.98,79.16,74.73,76.81,84.11,79.3,82.22,83.44,82.59,77.98,85.28,59.75,77.86,77.11,83.53,81.42,80.23,78.22
