Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3
1,95.86,92.81,97.12,95.27,94.5,94.57,92.59,94.61,92.51,96.32,89.77,93.07,95.7,95.73,97.32,84.6,96.19,94.79,89.43,92.39,89.6,87.63,93.32,86.09,97.52,96.42,96.87,89.29,91.16,90.39
2,91.6,95.0,93.5,93.6,86.38,92.92,93.65,94.35,93.73,94.75,96.56,95.03,98.16,95.68,96.67,92.85,90.5,94.84,89.92,91.19,90.86,89.58,97.2,91.73,95.53,97.15,96.15,90.45,91.52,89.71
3,93.19,94.74,93.42,92.27,88.21,95.03,94.42,94.59,91.66,97.14,96.6,96.74,96.08,97.44,94.0,95.42,83.16,64.11,94.05,76.38,92.45,88.79,88.45,91.0,96.14,97.69,95.02,79.79,89.04,85.47
4,91.01,91.24,94.75,86.84,93.77,91.79,86.39,71.68,78.97,69.68,91.01,91.21,96.51,95.8,97.89,94.99,95.66,69.05,72.76,89.73,83.07,69.49,76.66,90.16,96.89,96.31,85.12,90.31,89.96,90.21
5,89.87,91.4,90.89,91.6,91.81,68.42,89.71,83.83,86.79,82.9,91.51,93.69,93.31,93.77,91.8,77.25,93.55,90.97,84.22,80.46,87.83,72.07,86.53,80.25,77.69,75.48,53.07,56.18,86.11,88.38
