Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,95.72,94.94,96.2,93.33,88.53,95.73,95.46,94.39,96.32,96.97,96.76,97.29,91.5,91.82,88.13,92.15,92.37,92.67,92.31,89.5,91.39,96.77,96.41,90.14,93.3,91.0,93.12,88.74,93.7,90.05
2,94.1,93.42,89.93,93.23,87.66,94.69,96.52,95.56,97.24,94.39,95.34,88.59,96.8,93.89,94.99,92.71,95.9,92.94,91.69,91.03,90.92,88.72,89.73,93.5,93.53,94.8,94.56,93.46,93.43,91.84
3,95.05,93.52,87.49,82.58,89.28,93.92,94.62,87.02,91.13,95.78,84.28,93.09,96.4,93.38,94.11,90.75,90.8,88.39,89.01,87.12,92.01,90.09,93.88,97.74,93.87,93.36,90.7,89.8,90.35,94.11
4,94.27,94.82,94.15,80.25,90.72,87.87,95.06,91.61,94.95,94.34,97.27,86.0,93.81,91.72,95.45,90.12,84.01,89.18,89.76,93.96,89.18,82.89,75.76,92.54,91.35,90.6,92.21,76.44,85.98,78.1
5,78.35,83.63,68.47,80.58,82.13,76.74,89.68,77.1,82.42,74.49,78.06,76.36,82.73,85.46,86.05,75.81,84.64,83.44,84.19,84.18,87.41,66.62,79.42,79.92,81.16,74.26,75.35,80.21,76.99,73.79
