Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3,logical_1_mean,logical_1_std,logical_2_mean,logical_2_std,logical_3_mean,logical_3_std,logical_4_mean,logical_4_std,logical_5_mean,logical_5_std,logical_6_mean,logical_6_std,logical_7_mean,logical_7_std,logical_8_mean,logical_8_std,logical_9_mean,logical_9_std,logical_10_mean,logical_10_std,overall_mean,overall_std,relative_drop_%
1,84.26,86.42,79.16,80.64,83.64,77.11,83.68,84.28,88.51,85.09,87.85,77.3,81.8,83.58,88.18,87.65,84.5,85.26,89.93,86.44,89.03,87.57,85.93,86.23,84.82,88.45,79.46,84.84,86.69,82.48,83.28,3.728,80.463,3.269,85.49,2.633,83.413,5.471,84.52,3.292,85.803,1.644,88.467,1.812,86.577,0.873,84.243,4.523,84.67,2.11,84.693,3.384,0.0
2,81.33,83.94,86.03,78.53,81.64,83.77,87.24,87.35,76.46,83.38,86.74,85.97,83.5,80.25,85.43,84.35,82.32,85.69,89.44,90.47,92.77,85.75,84.69,90.47,85.58,84.36,84.32,83.12,85.19,87.17,83.767,2.355,81.313,2.635,83.683,6.256,85.363,1.76,83.06,2.618,84.12,1.697,90.893,1.705,86.97,3.077,84.753,0.716,85.16,2.025,84.908,3.441,-0.255
3,86.65,81.07,83.96,82.19,75.68,82.21,87.55,64.64,83.44,85.43,86.76,81.47,71.33,73.14,73.69,85.05,74.87,87.29,89.0,90.12,88.85,81.59,80.17,88.37,87.86,88.92,79.45,84.35,85.08,73.34,83.893,2.791,80.027,3.764,78.543,12.215,84.553,2.752,72.72,1.235,82.403,6.619,89.323,0.694,83.377,4.382,85.41,5.189,80.923,6.577,82.117,6.349,3.041
4,77.33,85.83,81.33,82.08,79.8,81.95,87.09,85.2,83.31,81.62,74.13,84.68,76.94,77.22,77.68,84.84,83.79,85.67,86.38,91.76,90.8,87.32,84.65,78.5,86.58,87.16,84.56,79.52,78.61,84.49,81.497,4.252,81.277,1.28,85.2,1.89,80.143,5.428,77.28,0.374,84.767,0.942,89.647,2.869,83.49,4.523,86.1,1.365,80.873,3.165,83.027,4.261,1.966
5,74.72,80.28,81.71,73.82,81.72,80.16,80.92,82.4,78.67,69.58,70.71,72.96,71.98,79.16,74.73,76.81,84.11,79.3,82.22,83.44,82.59,77.98,85.28,59.75,77.86,77.11,83.53,81.42,80.23,78.22,78.903,3.693,78.567,4.184,80.663,1.878,71.083,1.721,75.29,3.623,80.073,3.711,82.75,0.626,74.337,13.149,79.5,3.51,79.957,1.617,78.112,5.364,7.77
