Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3,classification_1_mean,classification_1_std,classification_2_mean,classification_2_std,classification_3_mean,classification_3_std,classification_4_mean,classification_4_std,classification_5_mean,classification_5_std,classification_6_mean,classification_6_std,classification_7_mean,classification_7_std,classification_8_mean,classification_8_std,classification_9_mean,classification_9_std,classification_10_mean,classification_10_std,overall_mean,overall_std,relative_drop_%
1,96.27,96.54,93.18,95.36,89.46,91.61,95.19,97.75,97.74,93.54,97.56,95.72,92.24,93.42,91.7,94.64,93.23,94.31,94.03,88.56,93.09,93.48,87.44,94.03,87.96,84.85,88.35,95.65,95.62,89.55,95.33,1.867,92.143,2.986,96.893,1.475,95.607,2.012,92.453,0.88,94.06,0.737,91.893,2.925,91.65,3.656,87.053,1.918,93.607,3.513,93.069,3.325,0.0
2,93.24,96.23,90.63,93.77,92.5,94.11,95.14,95.65,96.1,95.64,97.28,97.66,91.91,92.6,94.07,92.19,96.06,94.69,94.22,95.42,93.69,90.43,94.59,89.88,85.55,85.81,86.91,90.02,94.51,88.53,93.367,2.802,93.46,0.849,95.63,0.48,96.86,1.073,92.86,1.103,94.313,1.962,94.443,0.886,91.633,2.575,86.09,0.722,91.02,3.113,92.968,3.237,0.109
3,91.07,95.5,92.07,85.07,88.35,95.4,96.13,94.62,93.3,97.55,79.75,84.85,92.1,93.47,90.34,93.44,92.94,88.01,89.66,96.59,90.73,91.15,93.15,95.81,85.61,83.98,91.64,90.32,92.77,88.73,92.88,2.323,89.607,5.278,94.683,1.416,87.383,9.166,91.97,1.569,91.463,3.001,92.327,3.731,93.37,2.338,87.077,4.035,90.607,2.035,91.137,4.19,2.076
4,89.97,95.44,90.66,87.54,93.31,88.51,92.94,95.64,92.47,97.74,97.38,82.99,94.04,87.98,91.47,88.74,83.3,93.66,89.06,94.14,87.03,86.78,79.85,88.92,84.44,84.96,81.63,84.09,89.62,85.31,92.023,2.979,89.787,3.09,93.683,1.711,92.703,8.414,91.163,3.042,88.567,5.182,90.077,3.662,85.183,4.741,83.677,1.791,86.34,2.905,89.32,4.744,4.028
5,83.02,89.63,71.0,85.66,85.58,79.13,87.53,84.22,88.47,61.02,81.17,76.94,77.38,75.89,80.29,80.88,85.85,86.14,88.03,87.18,85.24,77.36,78.43,80.46,80.22,84.5,79.35,88.63,83.7,79.29,81.217,9.445,83.457,3.747,86.74,2.232,73.043,10.625,77.853,2.238,84.29,2.957,86.817,1.43,78.75,1.575,81.357,2.757,83.873,4.672,81.74,5.966,12.173
