Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3
1,86.51,91.13,94.83,96.07,90.65,91.19,93.93,95.01,90.22,88.09,88.56,79.97,93.08,97.61,99.41,88.65,91.35,93.4,96.09,89.52,92.15,97.93,89.88,94.68,90.62,89.16,86.69,91.89,92.21,91.87
2,88.12,88.14,90.32,87.25,93.03,95.31,89.52,83.64,89.79,91.38,99.56,97.54,99.31,94.54,99.12,95.5,92.57,91.06,92.52,92.27,93.72,81.18,78.82,78.32,90.71,88.23,84.15,93.19,92.73,94.71
3,90.33,89.24,85.25,92.49,96.97,92.59,94.17,74.53,81.42,96.81,88.07,99.29,89.51,84.0,91.91,95.29,93.27,94.44,94.79,88.56,92.19,80.05,78.84,80.62,83.47,93.16,80.52,92.16,92.39,89.48
4,90.86,86.45,87.23,90.5,91.71,94.61,86.78,86.18,86.58,87.54,87.55,80.51,89.32,90.08,78.85,93.33,92.76,92.25,80.47,91.84,93.8,91.77,84.23,79.46,89.71,86.61,85.37,88.14,89.94,93.35
5,87.01,88.53,85.87,89.41,83.98,84.05,75.18,77.0,77.98,73.28,82.23,61.15,82.96,89.26,90.42,83.78,88.5,85.97,87.54,87.26,84.32,79.97,69.12,65.59,84.43,82.97,84.65,87.03,93.13,90.63
