Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3
1,96.74,96.66,96.25,91.31,94.27,91.07,89.41,87.71,91.13,91.74,92.71,92.72,88.82,92.11,87.03,94.39,95.03,94.35,91.12,95.53,92.89,92.08,73.31,84.19,91.47,91.55,94.8,94.82,94.47,94.54
2,95.42,92.35,93.8,85.47,93.96,86.9,89.45,93.51,84.11,93.91,90.44,90.6,89.57,91.93,88.1,94.86,94.46,95.25,93.8,95.9,97.29,89.54,87.07,88.25,90.64,92.5,94.45,94.84,95.4,93.61
3,90.23,94.7,83.94,89.94,93.72,93.27,91.35,90.87,88.3,88.93,92.91,93.09,82.66,75.97,88.68,93.59,90.94,95.62,90.65,89.54,86.8,85.56,87.68,88.86,87.95,90.79,85.24,93.24,93.81,91.76
4,92.94,91.3,87.73,92.17,91.03,95.94,88.1,85.64,84.96,90.25,79.75,88.1,90.2,86.33,78.47,93.94,94.08,94.18,89.09,86.77,94.31,91.77,87.16,88.74,90.2,93.45,88.28,91.46,92.55,93.63
5,87.31,87.1,86.9,83.04,83.13,87.62,66.77,77.55,73.67,79.41,74.12,78.29,76.53,81.29,80.15,84.61,84.38,79.6,78.1,75.47,79.21,75.01,85.78,87.89,71.33,74.7,86.48,86.84,92.94,90.19
