Category,Drift_Level,Prompt_ID,Base_Prompt_Num,Variant_Num,Prompt_CosSim,Mistral-7B-Instruct-v0.2_4bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_8bit_Resp_CosSim,Mistral-7B-Instruct-v0.2_fp16_Resp_CosSim,Meta-Llama-3-8B-Instruct_4bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_8bit_Resp_CosSim,Meta-Llama-3-8B-Instruct_fp16_Resp_CosSim,Phi-3-mini-4k-instruct_4bit_Resp_CosSim,Phi-3-mini-4k-instruct_8bit_Resp_CosSim,Phi-3-mini-4k-instruct_fp16_Resp_CosSim
qna,1,qna_L1_v3,9,3,100,95.45,93.6,96.56,96.1,96.87,100,88.14,85.06,100
qna,1,qna_L1_v1,10,1,89.76,92.79,93.84,89.11,91.77,89.29,91.33,85.43,83.68,91.9
qna,1,qna_L1_v2,10,2,97.6,89.8,96.64,87.81,87.1,91.16,94.78,81.73,83.97,80.83
qna,1,qna_L1_v3,10,3,83.8,94.15,84.23,91.23,89.1,90.39,91.05,71.89,79.14,77.53
qna,2,qna_L2_v1,1,1,95.48,94.52,98,96.23,91.65,91.6,94.46,85.58,73.66,91.75
qna,2,qna_L2_v2,1,2,98.17,94.91,93.42,95.29,92.78,95,95.29,90.71,73.9,88.02
qna,2,qna_L2_v3,1,3,98.62,95.36,93.58,96.87,95.7,93.5,96.18,82.83,73.21,90.21
qna,2,qna_L2_v1,2,1,94.61,96.87,95.32,95.46,92.62,93.6,92.05,79.12,82.93,82.87
qna,2,qna_L2_v2,2,2,83.83,84.06,77.56,70.67,94.12,86.38,87.71,79.23,67.68,74.99
qna,2,qna_L2_v3,2,3,99.73,97.96,96.52,97.34,97.02,92.92,92.65,86.22,83.46,92.09
qna,2,qna_L2_v1,3,1,99.74,93.31,95.27,95.43,96.98,93.65,95.8,91.14,94.78,89.82
qna,2,qna_L2_v2,3,2,99.74,92.78,92.85,92.99,95.06,94.35,95.8,84.79,92.23,89.82
qna,2,qna_L2_v3,3,3,87.97,89.35,85.68,83.38,95.76,93.73,99.15,82.64,84.76,82.27
qna,2,qna_L2_v1,4,1,96.9,95.31,96.17,95.44,94.9,94.75,97.91,78.63,84.83,89.25
qna,2,qna_L2_v2,4,2,98.49,93.93,95.49,94.69,87.94,96.56,95.24,87.58,87.46,84.62
qna,2,qna_L2_v3,4,3,96.28,94.75,95.52,95.95,95.81,95.03,91.14,85.06,79.67,93.69
qna,2,qna_L2_v1,5,1,99.18,94.53,93.5,93.65,97.9,98.16,99.18,87.51,91.18,88.36
qna,2,qna_L2_v2,5,2,97.09,96.71,88.05,95.5,98.5,95.68,99.46,83.91,90.37,81.03
qna,2,qna_L2_v3,5,3,87.9,94.89,92.97,92.82,97.91,96.67,98.29,92.59,86.22,90.84
qna,2,qna_L2_v1,6,1,99.18,91.41,91.35,96.81,96.86,92.85,95.8,85.49,89.36,96.05
qna,2,qna_L2_v2,6,2,90.22,92.98,87.8,94.41,93.07,90.5,95.81,87.36,84.29,82
qna,2,qna_L2_v3,6,3,96.21,90.67,85.57,94.23,96.34,94.84,96.48,89.36,83.78,90.51
qna,2,qna_L2_v1,7,1,99.52,93.62,92.76,90.73,91.72,89.92,90.51,89.91,88.1,79.29
qna,2,qna_L2_v2,7,2,93.37,91.79,85.74,94,93.94,91.19,92.52,87.94,89.99,80.21
qna,2,qna_L2_v3,7,3,100,92.94,88.05,93.68,95.31,90.86,97.09,92.43,87.44,79.76
