Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,88.58,90.03,91.48,89.99,86.03,86.92,84.25,88.67,89.93,91.85,87.27,88.84,82.85,88.5,81.6,76.78,92.36,83.44,83.22,80.39,87.15,90.02,83.85,90.4,78.22,84.74,89.18,85.85,85.57,88.52
2,82.56,85.0,91.07,82.19,84.8,84.06,88.05,86.01,84.13,85.8,89.98,91.9,73.33,76.67,83.79,86.37,90.51,89.77,86.03,85.61,86.05,88.1,86.06,84.31,81.14,87.02,88.44,81.77,88.67,79.84
3,79.78,90.15,85.51,87.05,87.94,84.95,91.69,83.31,85.31,89.81,91.53,83.47,77.82,80.07,85.36,87.84,85.05,81.62,86.59,82.52,85.87,83.87,82.51,85.23,90.04,90.28,85.87,83.45,87.68,88.39
4,87.33,84.82,91.4,85.35,81.19,83.91,75.09,83.67,85.95,90.67,87.26,91.66,81.38,78.33,72.46,63.82,76.88,90.47,79.37,86.46,83.54,85.63,84.54,72.92,86.18,84.87,89.48,82.95,82.12,77.68
5,77.28,66.0,64.14,88.72,82.16,61.64,82.94,67.7,75.41,84.4,81.82,73.7,76.98,73.17,79.4,72.55,88.56,83.75,84.3,81.62,69.41,79.13,79.74,75.12,83.44,77.67,85.94,81.13,80.73,82.94
