Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3
1,89.06,84.67,83.66,83.5,85.55,90.26,81.71,84.86,85.16,71.71,81.86,86.96,86.91,86.48,90.65,87.21,84.08,91.46,92.0,94.91,91.92,86.46,85.86,74.79,88.98,89.18,86.2,80.59,85.85,87.7
2,64.57,88.21,78.53,84.65,76.14,88.63,81.06,81.0,82.77,78.68,82.69,84.19,86.82,86.41,87.61,92.32,83.63,91.0,93.03,89.82,88.1,79.32,84.12,82.42,84.95,87.14,88.89,90.59,91.78,87.48
3,84.92,81.64,86.78,82.23,85.59,83.13,84.28,75.99,82.82,82.68,78.66,79.91,82.58,76.86,76.79,86.98,83.57,79.03,90.79,82.0,89.86,77.72,84.25,79.98,85.84,86.67,82.61,85.0,86.82,82.58
4,78.29,83.84,87.73,86.56,83.42,73.8,84.21,80.17,77.96,83.07,76.97,72.94,88.47,82.72,84.87,82.47,80.55,88.22,85.68,90.89,89.1,88.0,80.01,75.31,87.84,86.12,89.18,78.09,80.52,88.19
5,81.09,80.65,83.79,79.23,85.47,77.21,84.03,77.09,81.01,72.51,74.25,68.27,79.83,81.54,79.45,87.61,86.95,90.33,82.83,84.52,90.73,68.44,75.1,62.61,80.88,72.75,79.86,72.32,85.94,84.86
