Drift_Level,reasoning_1_V1,reasoning_1_V2,reasoning_1_V3,reasoning_2_V1,reasoning_2_V2,reasoning_2_V3,reasoning_3_V1,reasoning_3_V2,reasoning_3_V3,reasoning_4_V1,reasoning_4_V2,reasoning_4_V3,reasoning_5_V1,reasoning_5_V2,reasoning_5_V3,reasoning_6_V1,reasoning_6_V2,reasoning_6_V3,reasoning_7_V1,reasoning_7_V2,reasoning_7_V3,reasoning_8_V1,reasoning_8_V2,reasoning_8_V3,reasoning_9_V1,reasoning_9_V2,reasoning_9_V3,reasoning_10_V1,reasoning_10_V2,reasoning_10_V3,reasoning_1_mean,reasoning_1_std,reasoning_2_mean,reasoning_2_std,reasoning_3_mean,reasoning_3_std,reasoning_4_mean,reasoning_4_std,reasoning_5_mean,reasoning_5_std,reasoning_6_mean,reasoning_6_std,reasoning_7_mean,reasoning_7_std,reasoning_8_mean,reasoning_8_std,reasoning_9_mean,reasoning_9_std,reasoning_10_mean,reasoning_10_std,overall_mean,overall_std,relative_drop_%
1,90.21,93.72,86.65,95.71,94.44,93.71,94.94,93.27,89.22,93.3,90.29,92.1,93.89,94.19,95.07,93.09,95.94,92.19,95.8,95.07,94.45,93.94,94.42,90.86,83.77,95.61,94.53,90.51,88.59,93.18,90.193,3.535,94.62,1.012,92.477,2.941,91.897,1.515,94.383,0.613,93.74,1.958,95.107,0.676,93.073,1.932,91.303,6.546,90.76,2.305,92.755,2.881,0.0
2,90.02,94.68,90.19,96.77,94.64,95.4,91.89,90.89,91.52,89.42,87.32,89.37,93.2,94.9,93.01,93.37,93.34,93.02,94.44,91.87,93.25,93.56,92.57,94.0,93.29,92.72,93.16,92.45,92.92,91.63,91.63,2.643,95.603,1.079,91.433,0.506,88.703,1.198,93.703,1.041,93.243,0.194,93.187,1.286,93.377,0.732,93.057,0.299,92.333,0.653,92.627,1.995,0.138
3,87.65,80.79,89.39,95.03,94.03,91.6,92.31,90.5,95.08,89.01,93.98,87.94,93.34,94.02,93.62,87.16,94.05,88.57,92.67,93.86,93.55,92.03,92.02,92.77,91.36,87.0,85.73,91.38,90.98,87.37,85.943,4.547,93.553,1.764,92.63,2.307,90.31,3.223,93.66,0.342,89.927,3.64,93.36,0.617,92.273,0.43,88.03,2.953,89.91,2.209,90.96,3.301,1.936
4,88.67,90.0,88.03,92.73,94.66,95.53,91.86,89.27,92.63,88.46,91.91,90.76,94.01,94.66,93.31,87.34,92.14,94.16,94.53,95.37,96.29,89.63,88.96,70.56,92.34,88.78,93.15,90.68,89.01,87.78,88.9,1.005,94.307,1.433,91.253,1.76,90.377,1.757,93.993,0.675,91.213,3.503,95.397,0.88,83.05,10.822,91.423,2.325,89.157,1.456,90.907,4.651,1.993
5,77.39,78.47,83.18,95.14,92.31,89.7,87.57,82.18,82.34,74.48,70.26,87.79,86.38,87.95,90.41,88.89,85.08,86.69,88.1,93.3,93.31,86.93,75.65,89.47,81.93,80.27,78.04,69.25,87.4,87.45,79.68,3.079,92.383,2.721,84.03,3.067,77.51,9.149,88.247,2.031,86.887,1.913,91.57,3.005,84.017,7.356,80.08,1.952,81.367,10.493,84.577,6.672,8.817
