Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3,logical_1_mean,logical_1_std,logical_2_mean,logical_2_std,logical_3_mean,logical_3_std,logical_4_mean,logical_4_std,logical_5_mean,logical_5_std,logical_6_mean,logical_6_std,logical_7_mean,logical_7_std,logical_8_mean,logical_8_std,logical_9_mean,logical_9_std,logical_10_mean,logical_10_std,overall_mean,overall_std,relative_drop_%
1,96.86,97.83,95.07,89.84,90.46,88.01,87.87,84.93,76.75,94.46,88.67,87.75,98.23,93.27,98.69,92.01,93.05,92.95,94.13,91.15,96.22,95.73,95.75,94.65,95.66,91.32,96.31,96.95,95.05,95.28,96.587,1.4,89.437,1.274,83.183,5.762,90.293,3.638,96.73,3.005,92.67,0.574,93.833,2.548,95.377,0.629,94.43,2.713,95.76,1.037,92.83,4.648,0.0
2,95.45,94.28,88.93,84.39,92.11,91.38,83.74,85.43,81.81,90.79,90.13,92.49,95.62,96.42,95.83,92.45,91.78,91.71,90.02,96.72,95.72,95.92,89.89,92.44,87.77,88.4,90.9,96.19,95.8,91.54,92.887,3.476,89.293,4.262,83.66,1.811,91.137,1.218,95.957,0.415,91.98,0.409,94.153,3.614,92.75,3.027,89.023,1.655,94.51,2.579,91.535,4.029,1.395
3,89.22,88.47,81.18,91.94,88.07,90.67,84.39,74.73,82.77,89.87,94.35,89.74,93.08,74.59,91.64,93.51,89.95,91.72,89.3,88.72,85.39,91.42,83.39,93.07,88.03,93.07,81.94,93.17,95.67,93.41,86.29,4.441,90.227,1.973,80.63,5.173,91.32,2.625,86.437,10.285,91.727,1.78,87.803,2.11,89.293,5.179,87.68,5.573,94.083,1.379,88.549,5.372,4.612
4,90.9,94.26,87.81,84.62,89.87,92.17,80.42,81.21,81.55,89.2,88.12,90.46,93.95,92.31,86.22,93.7,89.92,92.22,81.45,85.69,94.06,95.16,91.56,90.69,89.21,90.29,85.62,91.83,91.69,91.35,90.99,3.226,88.887,3.87,81.06,0.58,89.26,1.171,90.827,4.073,91.947,1.905,87.067,6.417,92.47,2.37,88.373,2.445,91.623,0.247,89.25,4.172,3.856
5,85.08,85.89,88.03,86.4,67.75,90.07,76.75,67.88,70.97,84.16,82.27,77.76,87.3,92.2,88.99,87.87,84.4,77.23,78.51,80.35,78.46,74.3,83.9,69.67,72.64,75.78,82.79,86.11,90.5,89.51,86.333,1.524,81.407,11.969,71.867,4.502,81.397,3.288,89.497,2.489,83.167,5.426,79.107,1.077,75.957,7.258,77.07,5.197,88.707,2.303,81.451,7.119,12.258
