Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3
1,86.11,84.02,88.06,86.81,86.63,84.5,83.58,83.22,87.04,85.22,88.25,87.64,93.45,89.39,87.68,77.75,87.29,83.66,91.0,78.24,87.0,76.57,76.93,72.34,83.82,88.34,88.14,85.43,81.73,71.89
2,85.58,90.71,82.83,79.12,79.23,86.22,91.14,84.79,82.64,78.63,87.58,85.06,87.51,83.91,92.59,85.49,87.36,89.36,89.91,87.94,92.43,80.02,81.88,79.3,85.15,87.06,75.3,67.96,82.74,84.73
3,88.04,84.01,85.54,83.95,84.04,84.24,82.3,87.11,82.52,90.93,85.8,90.94,89.05,87.65,67.79,87.3,69.69,74.55,76.85,82.29,81.8,83.95,76.77,83.04,90.16,85.46,84.65,75.01,77.89,74.02
4,88.56,86.7,79.76,84.43,87.74,80.88,84.24,83.34,72.72,79.6,91.65,86.3,90.86,60.73,89.35,88.15,87.0,77.48,68.95,83.96,82.07,85.32,79.21,81.58,84.01,87.27,73.06,63.32,78.64,77.68
5,83.76,81.11,75.07,87.82,81.19,67.9,82.33,73.7,80.65,91.14,81.52,91.94,84.85,80.43,88.65,79.0,92.41,80.39,76.05,78.49,78.23,78.08,79.16,72.08,74.68,73.89,61.9,64.78,83.57,87.19
