Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,95.01,94.15,86.67,97.16,80.08,94.01,94.16,91.64,98.5,97.96,94.75,95.12,92.76,86.44,87.32,98.09,92.98,98.06,94.07,93.16,94.16,91.21,91.6,94.97,84.83,98.97,87.88,93.88,85.05,84.38
2,77.86,91.31,95.21,90.76,85.41,96.16,84.02,98.98,92.79,96.28,97.19,92.01,89.66,83.38,90.67,96.36,92.88,95.15,91.22,92.51,92.55,94.18,94.15,94.73,89.12,84.76,81.23,85.73,88.56,86.8
3,94.43,92.59,92.68,83.4,86.77,97.51,98.5,96.1,86.48,93.12,90.92,88.45,89.02,97.66,91.16,85.99,93.14,89.34,91.85,91.38,91.04,93.36,91.98,92.99,86.4,86.83,89.16,85.29,87.38,85.61
4,94.26,85.35,90.88,77.42,90.33,94.7,89.4,97.29,80.39,92.51,98.0,88.58,84.66,86.47,80.79,95.3,83.83,93.5,91.3,92.53,91.21,88.36,82.48,89.08,86.61,83.0,89.45,87.19,86.92,89.58
5,75.45,82.92,61.22,77.54,81.68,74.77,78.56,89.36,80.75,78.41,74.19,54.69,78.26,82.46,81.21,80.32,82.96,77.12,89.88,87.91,84.76,70.48,75.32,90.64,75.58,72.41,78.72,78.32,77.55,70.87
