Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3
1,98.12,98.56,95.24,97.44,96.86,96.84,96.06,93.62,94.22,96.13,96.19,96.08,94.3,93.99,92.93,89.36,95.47,95.4,94.89,93.36,91.15,96.8,91.31,89.68,98.11,94.32,96.56,89.11,87.81,91.23
2,96.23,95.29,96.87,95.46,70.67,97.34,95.43,92.99,83.38,95.44,94.69,95.95,93.65,95.5,92.82,96.81,94.41,94.23,90.73,94.0,93.68,96.39,95.91,94.67,86.33,88.11,87.19,65.35,91.02,83.66
3,97.05,97.41,98.14,96.83,93.01,96.35,94.13,84.39,96.47,95.55,96.66,95.14,92.27,93.88,83.4,93.5,79.86,60.52,91.71,86.18,88.76,91.56,88.72,92.11,86.37,87.84,88.93,87.85,88.44,84.74
4,95.73,94.65,85.49,95.48,98.63,89.99,88.7,76.79,68.46,71.34,94.14,96.73,94.38,96.07,92.05,95.57,89.74,70.67,67.31,88.8,92.01,80.05,83.45,92.09,88.91,82.11,76.3,90.62,66.03,80.03
5,92.36,92.39,92.18,96.58,91.45,75.99,85.19,64.3,83.74,79.86,86.23,87.71,87.51,86.62,92.09,81.73,82.12,92.03,81.65,79.19,88.37,90.51,89.84,83.75,77.13,74.99,52.98,57.65,86.74,86.66
