Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3,logical_1_mean,logical_1_std,logical_2_mean,logical_2_std,logical_3_mean,logical_3_std,logical_4_mean,logical_4_std,logical_5_mean,logical_5_std,logical_6_mean,logical_6_std,logical_7_mean,logical_7_std,logical_8_mean,logical_8_std,logical_9_mean,logical_9_std,logical_10_mean,logical_10_std,overall_mean,overall_std,relative_drop_%
1,86.51,91.13,94.83,96.07,90.65,91.19,93.93,95.01,90.22,88.09,88.56,79.97,93.08,97.61,99.41,88.65,91.35,93.4,96.09,89.52,92.15,97.93,89.88,94.68,90.62,89.16,86.69,91.89,92.21,91.87,90.823,4.168,92.637,2.986,93.053,2.512,85.54,4.829,96.7,3.262,91.133,2.382,92.587,3.307,94.163,4.05,88.823,1.987,91.99,0.191,91.745,3.952,0.0
2,88.12,88.14,90.32,87.25,93.03,95.31,89.52,83.64,89.79,91.38,99.56,97.54,99.31,94.54,99.12,95.5,92.57,91.06,92.52,92.27,93.72,81.18,78.82,78.32,90.71,88.23,84.15,93.19,92.73,94.71,88.86,1.264,91.863,4.155,87.65,3.475,96.16,4.261,97.657,2.701,93.043,2.258,92.837,0.775,79.44,1.527,87.697,3.312,93.543,1.036,90.875,5.542,0.948
3,90.33,89.24,85.25,92.49,96.97,92.59,94.17,74.53,81.42,96.81,88.07,99.29,89.51,84.0,91.91,95.29,93.27,94.44,94.79,88.56,92.19,80.05,78.84,80.62,83.47,93.16,80.52,92.16,92.39,89.48,88.273,2.674,94.017,2.558,83.373,9.965,94.723,5.894,88.473,4.056,94.333,1.014,91.847,3.129,79.837,0.909,85.717,6.613,91.343,1.618,89.194,6.228,2.781
4,90.86,86.45,87.23,90.5,91.71,94.61,86.78,86.18,86.58,87.54,87.55,80.51,89.32,90.08,78.85,93.33,92.76,92.25,80.47,91.84,93.8,91.77,84.23,79.46,89.71,86.61,85.37,88.14,89.94,93.35,88.18,2.353,92.273,2.112,86.513,0.306,85.2,4.062,86.083,6.276,92.78,0.54,88.703,7.197,85.153,6.207,87.23,2.235,90.477,2.646,88.259,4.338,3.799
5,87.01,88.53,85.87,89.41,83.98,84.05,75.18,77.0,77.98,73.28,82.23,61.15,82.96,89.26,90.42,83.78,88.5,85.97,87.54,87.26,84.32,79.97,69.12,65.59,84.43,82.97,84.65,87.03,93.13,90.63,87.137,1.335,85.813,3.115,76.72,1.421,72.22,10.58,87.547,4.014,86.083,2.362,86.373,1.784,71.56,7.494,84.017,0.913,90.263,3.066,82.773,7.549,9.779
