Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3,classification_1_mean,classification_1_std,classification_2_mean,classification_2_std,classification_3_mean,classification_3_std,classification_4_mean,classification_4_std,classification_5_mean,classification_5_std,classification_6_mean,classification_6_std,classification_7_mean,classification_7_std,classification_8_mean,classification_8_std,classification_9_mean,classification_9_std,classification_10_mean,classification_10_std,overall_mean,overall_std,relative_drop_%
1,95.01,94.15,86.67,97.16,80.08,94.01,94.16,91.64,98.5,97.96,94.75,95.12,92.76,86.44,87.32,98.09,92.98,98.06,94.07,93.16,94.16,91.21,91.6,94.97,84.83,98.97,87.88,93.88,85.05,84.38,91.943,4.587,90.417,9.089,94.767,3.47,95.943,1.756,88.84,3.423,96.377,2.942,93.797,0.553,92.593,2.067,90.56,7.441,87.77,5.302,92.301,4.867,0.0
2,77.86,91.31,95.21,90.76,85.41,96.16,84.02,98.98,92.79,96.28,97.19,92.01,89.66,83.38,90.67,96.36,92.88,95.15,91.22,92.51,92.55,94.18,94.15,94.73,89.12,84.76,81.23,85.73,88.56,86.8,88.127,9.103,90.777,5.375,91.93,7.517,95.16,2.766,87.903,3.95,94.797,1.767,92.093,0.757,94.353,0.327,85.037,3.952,87.03,1.429,90.721,5.14,1.712
3,94.43,92.59,92.68,83.4,86.77,97.51,98.5,96.1,86.48,93.12,90.92,88.45,89.02,97.66,91.16,85.99,93.14,89.34,91.85,91.38,91.04,93.36,91.98,92.99,86.4,86.83,89.16,85.29,87.38,85.61,93.233,1.037,89.227,7.369,93.693,6.361,90.83,2.336,92.613,4.5,89.49,3.577,91.423,0.407,92.777,0.714,87.463,1.485,86.093,1.126,90.684,3.959,1.751
4,94.26,85.35,90.88,77.42,90.33,94.7,89.4,97.29,80.39,92.51,98.0,88.58,84.66,86.47,80.79,95.3,83.83,93.5,91.3,92.53,91.21,88.36,82.48,89.08,86.61,83.0,89.45,87.19,86.92,89.58,90.163,4.498,87.483,8.985,89.027,8.456,93.03,4.731,83.973,2.902,90.877,6.169,91.68,0.737,86.64,3.621,86.353,3.233,87.897,1.464,88.712,5.057,3.888
5,75.45,82.92,61.22,77.54,81.68,74.77,78.56,89.36,80.75,78.41,74.19,54.69,78.26,82.46,81.21,80.32,82.96,77.12,89.88,87.91,84.76,70.48,75.32,90.64,75.58,72.41,78.72,78.32,77.55,70.87,73.197,11.024,77.997,3.478,82.89,5.709,69.097,12.654,80.643,2.157,80.133,2.924,87.517,2.583,78.813,10.524,75.57,3.155,75.58,4.097,78.144,7.632,15.338
