Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3
1,100.0,98.25,96.87,95.26,96.27,93.55,82.49,92.32,87.92,89.65,93.56,90.39,98.86,98.19,100.0,93.28,93.55,93.83,94.91,97.13,92.34,100.0,95.65,96.95,100.0,95.14,95.42,97.39,94.44,100.0
2,98.07,93.46,95.49,89.83,93.15,91.52,90.11,85.76,88.67,94.6,93.76,89.26,93.38,98.34,94.03,93.85,91.21,94.2,93.78,95.93,97.58,95.52,93.54,91.38,89.33,86.32,86.17,95.01,97.25,95.73
3,92.71,93.3,86.87,89.25,96.15,90.51,90.87,83.02,88.56,90.43,88.75,93.7,93.9,72.32,86.01,93.61,91.42,94.31,86.17,88.54,85.61,82.69,84.61,95.42,88.53,89.66,86.89,94.23,92.63,93.27
4,93.85,92.49,88.52,90.8,91.06,95.38,83.04,88.15,89.42,87.04,88.44,92.14,96.74,93.56,83.81,95.02,84.51,93.08,87.01,90.15,96.3,95.7,90.12,88.19,90.01,90.47,89.63,92.29,93.46,92.71
5,82.53,87.45,87.17,78.09,86.49,85.8,79.5,79.44,82.14,80.23,80.46,65.35,89.3,86.18,85.73,80.06,84.98,81.85,73.21,79.4,78.49,66.93,81.94,63.76,69.93,77.31,85.34,88.59,93.73,86.02
