Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,100.0,100.0,97.39,96.75,89.16,100.0,94.44,100.0,100.0,100.0,98.58,100.0,95.25,97.04,93.97,95.27,100.0,97.62,100.0,100.0,100.0,100.0,100.0,90.49,95.44,95.89,93.36,84.99,100.0,84.35
2,95.19,92.41,91.6,95.12,86.69,93.75,94.83,95.11,96.96,90.12,97.24,92.19,93.16,88.51,94.97,95.07,93.62,97.47,92.26,92.26,92.26,90.76,86.75,91.49,92.87,92.55,93.57,82.24,91.19,85.56
3,95.36,95.05,93.62,80.68,90.74,93.67,100.0,94.46,87.37,98.12,82.72,84.48,94.97,95.35,89.7,95.76,93.08,93.05,91.25,90.14,88.12,84.45,90.43,85.16,94.53,92.87,88.95,89.98,82.76,91.19
4,89.99,94.26,93.42,81.67,88.04,88.91,88.85,92.65,92.52,95.83,99.94,87.45,94.46,94.76,93.28,77.49,86.69,94.57,88.44,91.02,84.29,84.96,76.72,87.09,92.93,85.44,93.9,79.48,88.06,75.4
5,81.72,89.54,69.81,86.92,85.28,77.33,88.41,76.68,89.55,79.09,77.21,82.26,84.34,78.26,86.17,83.27,85.26,82.99,80.69,84.88,88.58,71.33,75.87,77.85,78.99,69.93,75.2,74.91,73.77,76.03
