Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3
1,90.87,86.29,84.64,100.0,100.0,100.0,92.31,89.93,91.76,91.23,100.0,100.0,80.58,85.26,87.11,83.75,100.0,87.05,100.0,78.3,78.2,100.0,67.13,72.16,82.34,84.61,100.0,91.9,80.83,77.53
2,91.75,88.02,90.21,82.87,74.99,92.09,89.82,89.82,82.27,89.25,84.62,93.69,88.36,81.03,90.84,96.05,82.0,90.51,79.29,80.21,79.76,79.27,86.82,78.99,80.24,83.64,83.64,69.22,90.68,79.21
3,89.29,88.7,84.78,92.11,82.04,84.9,88.09,86.04,79.26,84.62,91.48,78.17,85.7,81.62,63.48,90.88,68.71,73.14,77.62,74.9,70.3,62.47,83.9,66.48,79.52,83.64,85.49,76.54,89.14,61.51
4,90.75,80.8,85.84,83.73,92.73,86.32,83.3,82.19,77.76,80.73,88.8,88.26,85.54,57.52,87.9,92.98,88.73,72.5,58.95,76.66,76.41,74.74,83.8,82.95,80.74,78.34,74.25,83.3,88.05,80.06
5,87.38,82.29,80.0,89.79,81.84,63.44,80.86,79.1,85.86,89.87,86.2,83.7,82.39,76.44,84.86,85.46,88.39,84.29,75.4,65.99,67.68,70.8,76.09,73.27,65.13,69.08,62.53,50.74,88.42,76.01
