Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,100.0,100.0,86.61,86.18,78.14,100.0,76.29,100.0,100.0,100.0,87.24,100.0,90.7,91.39,95.04,87.41,100.0,92.89,100.0,100.0,100.0,100.0,100.0,82.55,83.71,84.53,89.34,86.36,100.0,88.99
2,85.6,88.31,90.19,87.24,81.76,88.37,88.41,85.09,88.13,90.34,80.25,89.57,88.77,77.08,90.98,85.8,89.02,87.31,84.87,90.48,85.02,77.93,79.44,75.58,85.55,89.54,85.01,89.77,92.2,88.3
3,87.46,80.9,81.45,79.53,78.89,91.62,80.84,90.18,82.13,85.59,90.5,75.61,90.98,93.73,88.94,87.39,87.16,82.51,82.87,78.78,84.84,78.82,87.69,84.57,84.97,85.55,84.82,80.28,91.04,92.2
4,85.47,88.97,85.52,67.47,74.21,76.57,82.92,86.29,81.09,88.5,90.26,88.02,87.92,85.56,80.27,89.64,85.86,87.37,82.62,87.15,81.89,76.5,77.47,80.83,82.39,78.82,84.97,75.72,76.29,84.51
5,78.9,74.56,69.14,70.49,73.14,67.8,76.42,66.14,82.81,78.35,60.17,71.72,86.58,81.33,83.1,78.39,86.52,78.49,76.93,79.77,73.46,72.33,74.38,64.24,78.22,74.55,83.75,74.35,71.58,72.54
