Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3
1,96.54,94.56,93.77,97.98,95.94,97.15,93.09,93.06,95.59,95.74,95.33,94.57,96.71,97.51,95.28,83.49,95.9,91.34,91.38,92.45,82.6,96.66,89.43,89.09,93.39,95.46,95.45,92.79,89.8,94.15
2,94.52,94.91,95.36,96.87,84.06,97.96,93.31,92.78,89.35,95.31,93.93,94.75,94.53,96.71,94.89,91.41,92.98,90.67,93.62,91.79,92.94,94.97,94.3,85.94,86.67,86.23,85.78,84.73,87.25,87.73
3,94.53,94.64,96.07,96.03,96.43,95.02,93.8,87.54,92.77,96.15,94.84,94.87,95.8,95.12,80.49,96.8,89.08,57.43,90.83,80.58,87.28,88.75,93.41,91.66,89.09,88.3,85.96,91.21,94.25,73.16
4,94.69,92.7,91.63,94.2,96.84,95.85,94.85,79.13,75.2,73.84,94.03,94.17,95.44,89.2,93.73,96.01,91.72,70.13,62.0,90.53,91.63,67.31,83.64,90.52,93.22,80.83,76.43,86.52,68.78,92.96
5,85.49,85.41,87.82,94.51,87.44,66.71,80.41,74.66,81.07,78.34,84.09,83.81,87.34,84.59,90.87,76.76,89.88,92.19,79.73,71.65,80.86,91.65,85.53,70.59,71.57,78.2,49.06,53.35,94.38,88.2
