Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3
1,94.97,86.74,94.13,96.09,89.15,93.81,94.39,95.73,97.27,98.41,97.72,99.29,93.24,88.11,93.29,94.27,97.25,94.7,93.07,93.2,92.45,96.28,93.34,98.78,85.45,85.4,85.23,94.1,99.07,98.3
2,84.52,94.53,96.47,93.87,85.65,95.03,93.76,91.68,89.98,96.66,90.9,87.64,92.09,87.92,86.72,93.71,91.83,97.15,93.01,92.14,91.54,95.6,93.92,93.95,91.83,94.12,84.14,91.38,98.08,90.2
3,86.17,92.09,96.0,85.86,90.28,98.79,96.46,96.61,95.46,87.59,90.18,85.24,86.72,93.68,91.59,85.44,91.82,87.29,94.21,93.43,95.12,91.19,88.51,98.95,93.55,87.86,83.29,87.43,96.04,97.86
4,91.46,85.74,90.5,72.82,84.81,90.84,83.8,87.18,86.25,95.8,89.68,85.74,91.38,89.57,90.38,92.61,83.77,95.39,92.43,89.38,91.83,89.49,78.3,86.1,95.17,88.55,92.17,90.96,87.29,94.15
5,79.94,79.89,62.56,71.68,77.18,88.59,75.44,88.17,81.17,74.89,67.81,61.13,81.55,82.67,72.82,78.49,82.83,79.47,84.01,84.87,85.79,66.59,78.39,79.07,82.87,71.39,82.7,83.97,82.63,78.66
