Drift_Level,qna_1_V1,qna_1_V2,qna_1_V3,qna_2_V1,qna_2_V2,qna_2_V3,qna_3_V1,qna_3_V2,qna_3_V3,qna_4_V1,qna_4_V2,qna_4_V3,qna_5_V1,qna_5_V2,qna_5_V3,qna_6_V1,qna_6_V2,qna_6_V3,qna_7_V1,qna_7_V2,qna_7_V3,qna_8_V1,qna_8_V2,qna_8_V3,qna_9_V1,qna_9_V2,qna_9_V3,qna_10_V1,qna_10_V2,qna_10_V3,qna_1_mean,qna_1_std,qna_2_mean,qna_2_std,qna_3_mean,qna_3_std,qna_4_mean,qna_4_std,qna_5_mean,qna_5_std,qna_6_mean,qna_6_std,qna_7_mean,qna_7_std,qna_8_mean,qna_8_std,qna_9_mean,qna_9_std,qna_10_mean,qna_10_std,overall_mean,overall_std,relative_drop_%
1,96.59,94.83,93.93,97.55,97.37,97.36,90.46,93.15,94.63,94.72,96.28,95.77,92.13,97.01,91.71,92.95,90.4,91.01,93.28,90.76,80.12,94.27,89.42,84.46,98.44,95.26,93.6,93.84,96.64,84.23,95.117,1.353,97.427,0.107,92.747,2.114,95.59,0.795,93.617,2.946,91.453,1.332,88.053,6.985,89.383,4.905,95.767,2.459,91.57,6.509,93.072,4.234,0.0
2,98.0,93.42,93.58,95.32,77.56,96.52,95.27,92.85,85.68,96.17,95.49,95.52,93.5,88.05,92.97,91.35,87.8,85.57,92.76,85.74,88.05,95.37,96.42,96.8,84.47,84.7,87.57,61.82,91.28,86.53,95.0,2.599,89.8,10.617,91.267,4.987,95.727,0.384,91.507,3.005,88.24,2.915,88.85,3.578,96.197,0.741,85.58,1.727,79.877,15.817,90.204,7.276,3.081
3,93.55,94.51,94.12,96.33,95.81,96.08,91.74,87.1,93.41,95.11,95.51,95.69,94.13,89.97,85.85,91.55,88.2,58.19,94.38,80.59,82.47,89.73,83.66,96.06,87.1,85.91,94.28,82.91,94.41,76.13,94.06,0.483,96.073,0.26,90.75,3.269,95.437,0.297,89.983,4.14,79.313,18.37,85.813,7.478,89.817,6.2,89.097,4.528,84.483,9.241,89.483,8.016,3.857
4,93.53,93.47,88.57,95.19,97.17,92.57,94.31,86.68,85.67,66.8,94.8,94.58,93.16,94.12,92.84,92.84,91.89,62.95,66.62,90.95,93.39,86.5,78.86,92.0,89.29,86.54,71.8,92.51,62.53,77.2,91.857,2.846,94.977,2.307,88.887,4.724,85.393,16.103,93.373,0.666,82.56,16.989,83.653,14.802,85.787,6.599,82.543,9.405,77.413,14.991,86.644,10.423,6.906
5,89.62,88.73,91.56,96.99,88.48,72.59,80.17,70.16,86.52,87.81,85.14,87.13,87.6,86.14,82.0,85.98,90.79,93.78,82.27,73.89,70.85,90.45,78.4,68.93,73.9,77.58,52.17,59.2,94.61,92.12,89.97,1.447,86.02,12.385,78.95,8.248,86.693,1.388,85.247,2.905,90.183,3.935,75.67,5.914,79.26,10.786,67.883,13.732,81.977,19.764,82.185,10.61,11.697
