Drift_Level,logical_1_V1,logical_1_V2,logical_1_V3,logical_2_V1,logical_2_V2,logical_2_V3,logical_3_V1,logical_3_V2,logical_3_V3,logical_4_V1,logical_4_V2,logical_4_V3,logical_5_V1,logical_5_V2,logical_5_V3,logical_6_V1,logical_6_V2,logical_6_V3,logical_7_V1,logical_7_V2,logical_7_V3,logical_8_V1,logical_8_V2,logical_8_V3,logical_9_V1,logical_9_V2,logical_9_V3,logical_10_V1,logical_10_V2,logical_10_V3,logical_1_mean,logical_1_std,logical_2_mean,logical_2_std,logical_3_mean,logical_3_std,logical_4_mean,logical_4_std,logical_5_mean,logical_5_std,logical_6_mean,logical_6_std,logical_7_mean,logical_7_std,logical_8_mean,logical_8_std,logical_9_mean,logical_9_std,logical_10_mean,logical_10_std,overall_mean,overall_std,relative_drop_%
1,87.93,87.28,94.56,84.74,88.74,76.75,99.78,91.41,99.42,94.94,89.92,91.94,98.65,96.94,97.99,94.41,93.79,96.77,93.91,94.5,94.79,95.24,94.32,95.62,89.23,89.94,91.09,96.38,96.34,97.19,89.923,4.029,83.41,6.105,96.87,4.732,92.267,2.526,97.86,0.862,94.99,1.572,94.4,0.448,95.06,0.668,90.087,0.939,96.637,0.48,93.15,4.882,0.0
2,90.35,91.51,89.29,82.76,86.11,94.84,87.13,84.03,84.73,79.37,97.37,88.77,98.39,94.54,100.0,96.55,96.17,94.02,95.01,94.73,91.02,84.23,92.41,90.83,92.41,88.83,92.46,94.81,96.25,94.32,90.383,1.11,87.903,6.236,85.297,1.626,88.503,9.003,97.643,2.806,95.58,1.364,93.587,2.227,89.157,4.339,91.233,2.081,95.127,1.003,91.441,5.06,1.835
3,87.41,88.02,88.92,83.23,84.89,88.44,96.71,75.96,85.84,96.05,96.89,99.48,87.72,80.21,91.69,95.43,89.41,88.81,95.35,89.96,90.96,76.24,78.03,81.22,92.41,90.07,80.04,95.71,90.82,91.34,88.117,0.76,85.52,2.662,86.17,10.379,97.473,1.788,86.54,5.83,91.217,3.661,92.09,2.867,78.497,2.523,87.507,6.571,92.623,2.686,88.575,6.36,4.911
4,92.14,90.55,85.95,79.25,85.44,85.5,86.09,85.23,86.83,80.11,88.06,81.16,90.68,91.4,78.5,94.71,94.53,91.71,89.23,94.35,91.15,89.06,76.24,86.18,92.16,92.16,91.03,88.55,88.9,91.46,89.547,3.215,83.397,3.591,86.05,0.801,83.11,4.319,86.86,7.249,93.65,1.682,91.577,2.587,83.827,6.726,91.783,0.652,89.637,1.589,87.944,4.915,5.59
5,83.51,87.19,85.52,82.07,76.45,78.54,66.31,70.49,78.21,71.91,83.46,64.48,86.97,91.3,91.3,86.28,86.4,87.17,86.7,87.81,88.65,79.45,80.94,71.63,77.61,79.77,86.7,87.6,89.93,90.96,85.407,1.843,79.02,2.841,71.67,6.037,73.283,9.564,89.857,2.5,86.617,0.483,87.72,0.978,77.34,5.001,81.36,4.749,89.497,1.721,82.177,7.394,11.78
