Drift_Level,classification_1_V1,classification_1_V2,classification_1_V3,classification_2_V1,classification_2_V2,classification_2_V3,classification_3_V1,classification_3_V2,classification_3_V3,classification_4_V1,classification_4_V2,classification_4_V3,classification_5_V1,classification_5_V2,classification_5_V3,classification_6_V1,classification_6_V2,classification_6_V3,classification_7_V1,classification_7_V2,classification_7_V3,classification_8_V1,classification_8_V2,classification_8_V3,classification_9_V1,classification_9_V2,classification_9_V3,classification_10_V1,classification_10_V2,classification_10_V3,classification_1_mean,classification_1_std,classification_2_mean,classification_2_std,classification_3_mean,classification_3_std,classification_4_mean,classification_4_std,classification_5_mean,classification_5_std,classification_6_mean,classification_6_std,classification_7_mean,classification_7_std,classification_8_mean,classification_8_std,classification_9_mean,classification_9_std,classification_10_mean,classification_10_std,overall_mean,overall_std,relative_drop_%
1,91.39,94.14,87.92,92.38,73.25,89.84,95.99,98.33,97.94,92.42,91.54,91.1,91.45,94.59,93.97,94.26,95.56,98.04,93.86,94.99,91.89,90.3,88.75,86.84,93.42,89.29,86.82,96.64,97.57,94.36,91.15,3.117,85.157,10.389,97.42,1.254,91.687,0.672,93.337,1.663,95.953,1.92,93.58,1.569,88.63,1.733,89.843,3.335,96.19,1.652,92.295,4.842,0.0
2,91.09,93.89,94.91,77.41,81.47,92.56,96.53,86.31,92.28,95.91,97.03,91.34,87.05,85.62,99.47,94.18,93.52,93.94,95.22,97.21,95.69,94.41,93.33,93.07,91.81,93.6,84.36,92.67,90.05,91.17,93.297,1.978,83.813,7.842,91.707,5.134,94.76,3.014,90.713,7.617,93.88,0.334,96.04,1.04,93.603,0.711,89.923,4.9,91.297,1.315,91.903,4.872,0.424
3,92.84,96.06,85.56,81.4,82.85,92.56,97.36,96.53,93.93,92.9,92.0,90.66,93.98,90.22,90.58,85.98,94.51,91.89,95.57,92.96,94.8,89.65,93.63,94.05,92.62,93.98,79.83,91.16,96.21,94.45,91.487,5.379,85.603,6.068,95.94,1.789,91.853,1.127,91.593,2.075,90.793,4.369,94.443,1.341,92.443,2.428,88.81,7.807,93.94,2.563,91.691,4.434,0.654
4,94.33,86.24,90.35,74.14,85.62,93.02,85.1,89.54,86.39,93.54,91.74,84.44,80.4,89.41,89.78,95.82,85.11,92.03,94.52,90.66,93.27,87.99,83.83,86.57,91.38,92.57,93.85,92.22,93.86,89.36,90.307,4.045,84.26,9.513,87.01,2.284,89.907,4.819,86.53,5.312,90.987,5.431,92.817,1.97,86.13,2.115,92.6,1.235,91.813,2.277,89.236,4.78,3.314
5,81.47,85.57,64.35,77.96,82.92,78.46,87.44,89.86,86.6,67.9,69.08,50.66,77.4,84.52,80.12,78.45,85.36,80.64,91.8,88.03,88.05,70.57,81.16,77.17,75.82,78.83,82.65,82.14,72.28,79.27,77.13,11.256,79.78,2.731,87.967,1.693,62.547,10.311,80.68,3.593,81.483,3.531,89.293,2.171,76.3,5.348,79.1,3.423,77.897,5.071,79.218,8.537,14.169
